,question,equations,operation,answers
726,What is divided by 0.6667 to get 0.8?,number/0.6667=0.8,Division,0.53
727,"If your gross pay is 450 dollars , while your net pay is 315 dollars , how much do you pay in taxes? Assume that all tax dollars are not included in net pay.",taxes=450.0-315.0,Subtraction,135.0
728,A recipe calls for 2 cups of sugar. You find that you only have 0.3333 cups of sugar left. What fraction of the recipe can you make?,fraction=0.3333/2.0,Division,0.165
729,Joan found 70 seashells on the beach. she gave Sam some of her seashells. She has 27 seashell left. How many seashells did she give to Sam ?,70-x=27,Subtraction,43.0
730,There were 28 bales of hay in the barn. Tim stacked more bales in the barn today. There are now 54 bales of hay in the barn. How many bales did he store in the barn ?,28+x=54,Addition,26.0
731,Mary is baking a cake. The recipe wants 8 cups of flour. She already put in 2 cups. How many more cups does she need to add ?,8=2+x,Addition,6.0
732,Sara's high school played 12 basketball games this year. The team won most of their games. They were defeated during 4 games. How many games did they win ?,12=x+4,Addition,8.0
733,There are 22 walnut trees currently in the park. Park workers will plant more walnut trees today. When the workers are finished there will be 55 walnut trees in the park. How many walnut trees did the workers plant today ?,22+x=55,Addition,33.0
734,"Mike had 34 peaches left at his roadside fruit stand. He went to the orchard and picked more peaches to stock up the stand. There are now 86 peaches at the stand, how many did he pick ?",34+x=86,Addition,52.0
735,There were 6 roses in the vase. Mary cut some more roses from her flower garden. There are now 16 roses in the vase. How many roses did she cut ?,6+x=16,Addition,10.0
736,Joan went to 4 football games this year. She went to 9 football games last year. How many football games did Joan go to in all ?,4+9=x,Addition,13.0
737,Tom has 9 yellow balloons. Sara has 8 yellow balloons. How many yellow balloons do they have in total ?,9+8=x,Addition,17.0
738,There are 4 walnut trees currently in the park. Park workers will plant 6 more walnut trees today. How many walnut trees will the park have when the workers are finished ?,4+6=x,Addition,10.0
739,Sam had 9 dimes in his bank. His dad gave him 7 more dimes. How many dimes does Sam have now ?,9+7=x,Addition,16.0
740,Alyssa's dog had puppies. She gave 7 to her friends. She now has 5 puppies left. How many puppies did she have to start with ?,x-7=5,Subtraction,12.0
741,A restaurant served 9 pizzas during lunch and 6 during dinner today. How many pizzas were served today ?,9+6=x,Addition,15.0
742,There are 2 pencils in the drawer. Tim placed 3 more pencils in the drawer. How many pencils are now there in total ?,2+3=x,Addition,5.0
743,Joan found 6 seashells and Jessica found 8 seashells on the beach. How many seashells did they find together ?,6+8=x,Addition,14.0
744,Sandy grew 6 carrots. Sam grew 3 carrots. How many carrots did they grow in total ?,6+3=x,Addition,9.0
745,Benny picked 2 apples and Dan picked 9 apples from the apple tree. How many apples were picked in total ?,2+9=x,Addition,11.0
746,Sam found 18 seashells and Mary found 47 seashells on the beach. How many seashells did they find together ?,18+47=x,Addition,65.0
747,Sara picked 45 pears and Sally picked 11 pears from the pear tree. How many pears were picked in total ?,45+11=x,Addition,56.0
748,Keith has 20 books. Jason has 21 books. How many books do they have together ?,20+21=x,Addition,41.0
749,Jason had 49 quarters in his bank. His dad gave him 25 more quarters. How many quarters does he have now ?,49+25=x,Addition,74.0
750,There are 33 walnut trees currently in the park. Park workers will plant 44 more walnut trees today. How many walnut trees will the park have when the workers are finished ?,33+44=x,Addition,77.0
751,Sara had 21 quarters in her bank. Her dad gave her 49 more quarters. How many quarters does she have now ?,21+49=x,Addition,70.0
752,There are 41 pencils in the drawer. Mike placed 30 more pencils in the drawer. How many pencils are now there in total ?,41+30=x,Addition,71.0
753,Joan has 10 books. Tom has 38 books. How many books do they have together ?,10+38=x,Addition,48.0
754,Joan has 40 blue balloons Melanie has 41 blue balloons. How many blue balloons do they have in total ?,40+41=x,Addition,81.0
755,Fred grew 38 cantelopes. Tim grew 44 cantelopes. How many cantelopes did they grow in total ?,38+44=x,Addition,82.0
756,Sam went to 14 football games this year. He went to 29 games last year. How many football games did Sam go to in all ?,14+29=x,Addition,43.0
757,Mary found 18 seashells and Jessica found 41 seashells on the beach. How many seashells did they find together ?,18+41=x,Addition,59.0
758,Mike has 35 books in his library. He bought several books at a yard sale over the weekend. He now has 56 books in his library. How many books did he buy at the yard sale ?,35+x=56,Addition,21.0
759,Sandy is baking a cake. The recipe wants 7 cups of flour. She already put in 4 cups. How many more cups does she need to add ?,7=4+x,Addition,3.0
760,There are 53 maple trees currently in the park. Park workers will plant more maple trees today. When the workers are finished there will be 64 maple trees in the park. How many maple trees did the workers plant today ?,53+x=64,Addition,11.0
761,"Dan found 56 seashells on the beach, he gave Jessica some of his seashells. He has 22 seashell left. How many seashells did he give to Jessica ?",56-x=22,Subtraction,34.0
762,"Sally had 13 peaches left at her roadside fruit stand. She went to the orchard and picked more peaches to stock up the stand. There are now 55 peaches at the stand, how many did she pick ?",13+x=55,Addition,42.0
763,"Benny received 67 dollars for his birthday. He went to a sporting goods store and bought a baseball glove, baseball, and bat. He had 33 dollars left over. How much did he spent on the baseball gear ?",67-x=33,Subtraction,34.0
764,There were 3 roses in the vase. Alyssa cut some more roses from her flower garden. There are now 14 roses in the vase. How many roses did she cut ?,3+x=14,Addition,11.0
765,Last week Tom had 74 dollars. He washed cars over the weekend and now has 86 dollars. How much money did he make washing cars ?,74+x=86,Addition,12.0
766,There were 73 bales of hay in the barn. Jason stacked more bales in the barn today. There are now 96 bales of hay in the barn. How many bales did he store in the barn ?,73+x=96,Addition,23.0
767,Nancy grew 6 potatoes. Sandy grew 7 potatoes. How many potatoes did they grow in total ?,6+7=x,Addition,13.0
768,There are 9 crayons in the drawer. Benny placed 3 more crayons in the drawer. How many crayons are now there in total ?,9+3=x,Addition,12.0
769,There are 5 oak trees currently in the park. Park workers will plant 4 more oak trees today. How many oak trees will the park have when the workers are finished ?,5+4=x,Addition,9.0
770,There were a total of 7 football games this year. Melanie missed 4 of the games. How many football games did Melanie go to in all ?,7=4+x,Addition,3.0
771,Tom found 7 seashells but 4 were broken. How many unbroken seashells did Tom find ?,7=4+x,Addition,3.0
772,Sally picked 7 lemons and Mary picked 9 lemons from the lemon tree. How many lemons were picked in total ?,7+9=x,Addition,16.0
773,A restaurant served 6 cakes during lunch and 9 during dinner today. How many cakes were served today ?,6+9=x,Addition,15.0
774,Joan has 8 orange balloons but lost 2 of them. How many orange balloons does Joan have now ?,8-2=x,Subtraction,6.0
775,Fred had 7 dimes in his bank. His sister borrowed 3 of his dimes. How many dimes does Fred have now ?,7-3=x,Subtraction,4.0
776,Joan's cat had 8 kittens. She gave 2 to her friends. How many kittens does she have now ?,8-2=x,Subtraction,6.0
777,There are 34 dogwood trees currently in the park. Park workers will plant 49 more dogwood trees today. How many dogwood trees will the park have when the workers are finished ?,34+49=x,Addition,83.0
778,There are 27 pencils in the drawer. Nancy placed 45 more pencils in the drawer. How many pencils are now there in total ?,27+45=x,Addition,72.0
779,Benny's high school played 39 baseball games this year. He attended 14 games. How many baseball games did Benny miss ?,39-14=x,Subtraction,25.0
780,"Sam found 35 seashells on the beach, he gave Joan 18 of the seashells. How many seashells does he now have ?",35-18=x,Subtraction,17.0
781,Tim has 22 books. Mike has 20 books. How many books do they have together ?,22+20=x,Addition,42.0
782,Mike has 87 baseball cards. Sam bought 13 of Mike's baseball cards. How many baseball cards does Mike have now ?,87-13=x,Subtraction,74.0
783,Sandy grew 51 pumpkins. Mike grew 23 pumpkins. How many pumpkins did they grow in total ?,51+23=x,Addition,74.0
784,Tim has 44 books. Sam has 52 books. How many books do they have together ?,44+52=x,Addition,96.0
785,"Dan has 64 violet marbles, he gave Mary 14 of the marbles. How many violet marbles does he now have ?",64-14=x,Subtraction,50.0
786,There are 25 popular trees currently in the park. Park workers will plant 73 more popular trees today. How many popular trees will the park have when the workers are finished ?,25+73=x,Addition,98.0
787,There are 54 scissors in the drawer. Keith placed 22 more scissors in the drawer. How many scissors are now there in all ?,54+22=x,Addition,76.0
788,Alyssa picked 42 pears and Nancy picked 17 pears from the pear tree. How many pears were picked in all ?,42+17=x,Addition,59.0
789,Sam had 98 pennies in his bank. He spent 93 of his pennies. How many pennies does he have now ?,98-93=x,Subtraction,5.0
790,"Joan found 79 seashells on the beach, she gave Mike 63 of the seashells. How many seashells does she now have ?",79-63=x,Subtraction,16.0
791,Melanie's high school played 64 soccer games this year. She attended 32 games. How many soccer games did Melanie miss ?,64=32+x,Addition,32.0
792,Sam has 110 books. Joan has 102 books. How many books do they have together ?,110+102=x,Addition,212.0
793,Mary picked 122 oranges and Jason picked 105 oranges from the orange tree. How many oranges were picked in total ?,122+105=x,Addition,227.0
794,Sally had 760 quarters in her bank. She spent 418 of her quarters. How many quarters does she have now ?,760-418=x,Subtraction,342.0
795,Fred's high school played 616 baseball games this year. He attended 147 games. How many baseball games did Fred miss ?,616=147+x,Addition,469.0
796,Melanie grew 139 turnips. Benny grew 113 turnips. How many turnips did they grow in all ?,139+113=x,Addition,252.0
797,Jason has 676 Pokemon cards. Alyssa bought 224 of Jason's Pokemon cards. How many Pokemon cards does Jason have now ?,676-224=x,Subtraction,452.0
798,There are 107 walnut trees currently in the park. Park workers will plant 104 more walnut trees today. How many walnut trees will the park have when the workers are finished ?,107+104=x,Addition,211.0
799,"Fred has 709 green balloons, he gave Sandy 221 of the balloons. How many green balloons does he now have ?",709-221=x,Subtraction,488.0
800,There are 115 pencils in the drawer. Sara placed 100 more pencils in the drawer. How many pencils are now there in all ?,115+100=x,Addition,215.0
801,Mike has 45 dollars in 5 dollar bills. How many five dollars bills does he have ?,45/5=x,Division,9.0
802,"Sandy worked 45 hours in the last 5 days. Assuming that she worked the same amount of hours each day, how long did she work each day ?",45/5=x,Division,9.0
803,"There were a total of 27 soccer games during the 3 month season. If the games are equally divided, how many soccer games are played a month ?",27/3=x,Division,9.0
804,Fred has 110 blue marbles. Fred has 22 times more blue marbles than Tim. How many blue marbles does Tim have?,110/22=x,Division,5.0
805,"There are 390 students at a school. If each classroom holds 30 students, how many classrooms are needed at the school?",390=30*x,Multiplication,13.0
806,Jason's shelves hold 45 books each. How many shelves will Jason need if Jason has 315 books?,45*x=315,Multiplication,7.0
807,Nancy bought 615 crayons that came in packs of 15. How many packs of crayons did Nancy buy?,615/15=x,Division,41.0
